click,blueTopIndex,blueTopName,blueTopPlay,blueJungleIndex,blueJungleName,blueJunglePlay,blueMidIndex,blueMidName,blueMidPlay,blueBotIndex,blueBotName,blueBotPlay,blueSupportIndex,blueSupportName,blueSupportPlay,speaker_early_index,speaker_late_index,ChampFam,TVJearly,TVJlate,blue_excel_early,blue_excel_late,blue_excel_general,speaker_excel_early,speaker_excel_late,RT,language,age,gender,education,Browser,OS,screenH,screenW,year_started,league_level,hours_total,games_weekly,champfam_total,criteria_early,criteria_late,hierarch_early,hierarch_late,time_in_minutes,participant_id
32,85,Ornn,0.0374,143,Zac,0.0667,61,LeBlanc,0.0332,7,Aphelios,0.0536,66,Lulu,0.0534,0,0,4,0,1,0.4,0.65,0.55,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
33,85,Ornn,0.0374,143,Zac,0.0667,61,LeBlanc,0.0332,7,Aphelios,0.0536,66,Lulu,0.0534,0,0,4,0,1,0.4,0.65,0.55,0.35,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
34,85,Ornn,0.0374,143,Zac,0.0667,61,LeBlanc,0.0332,7,Aphelios,0.0536,66,Lulu,0.0534,0,0,4,0,1,0.4,0.65,0.55,0.35,0.5,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
35,118,Teemo,0.0168,36,Graves,0.0375,61,LeBlanc,0.0332,73,Miss Fortune,0.0964,100,Senna,0.1068,0,0,4,,,,,,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
36,118,Teemo,0.0168,36,Graves,0.0375,61,LeBlanc,0.0332,73,Miss Fortune,0.0964,100,Senna,0.1068,0,0,4,0,0,,,,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
37,118,Teemo,0.0168,36,Graves,0.0375,61,LeBlanc,0.0332,73,Miss Fortune,0.0964,100,Senna,0.1068,0,0,4,0,0,0.45,0.35,0.4,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
38,118,Teemo,0.0168,36,Graves,0.0375,61,LeBlanc,0.0332,73,Miss Fortune,0.0964,100,Senna,0.1068,0,0,4,0,0,0.45,0.35,0.4,0.25,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
39,118,Teemo,0.0168,36,Graves,0.0375,61,LeBlanc,0.0332,73,Miss Fortune,0.0964,100,Senna,0.1068,0,0,4,0,0,0.45,0.35,0.4,0.25,0.15,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
40,33,Garen,0.0603,71,Master Yi,0.0537,130,Vel'Koz,0.0133,46,Jhin,0.0642,76,Nami,0.0652,1,0,5,,,,,,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
41,33,Garen,0.0603,71,Master Yi,0.0537,130,Vel'Koz,0.0133,46,Jhin,0.0642,76,Nami,0.0652,1,0,5,0,1,,,,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
42,33,Garen,0.0603,71,Master Yi,0.0537,130,Vel'Koz,0.0133,46,Jhin,0.0642,76,Nami,0.0652,1,0,5,0,1,0.3,0.5,0.45,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
43,33,Garen,0.0603,71,Master Yi,0.0537,130,Vel'Koz,0.0133,46,Jhin,0.0642,76,Nami,0.0652,1,0,5,0,1,0.3,0.5,0.35,0.6,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
44,33,Garen,0.0603,71,Master Yi,0.0537,130,Vel'Koz,0.0133,46,Jhin,0.0642,76,Nami,0.0652,1,0,5,0,1,0.3,0.5,0.35,0.6,0.3,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
