,Matchup0_blueIndex,Matchup0_redIndex,Matchup0_Ref,Matchup0_Extreme,Matchup1_blueIndex,Matchup1_redIndex,Matchup1_Ref,Matchup1_Extreme,Matchup2_blueIndex,Matchup2_redIndex,Matchup2_Ref,Matchup2_Extreme,Matchup3_blueIndex,Matchup3_redIndex,Matchup3_Ref,Matchup3_Extreme,Matchup4_blueIndex,Matchup4_redIndex,Matchup4_Ref,Matchup4_Extreme,Matchup5_blueIndex,Matchup5_redIndex,Matchup5_Ref,Matchup5_Extreme,Matchup6_blueIndex,Matchup6_redIndex,Matchup6_Ref,Matchup6_Extreme,Matchup7_blueIndex,Matchup7_redIndex,Matchup7_Ref,Matchup7_Extreme,Matchup8_blueIndex,Matchup8_redIndex,Matchup8_Ref,Matchup8_Extreme,Matchup9_blueIndex,Matchup9_redIndex,Matchup9_Ref,Matchup9_Extreme,Matchup10_blueIndex,Matchup10_redIndex,Matchup10_Ref,Matchup10_Extreme,Matchup11_blueIndex,Matchup11_redIndex,Matchup11_Ref,Matchup11_Extreme,TVJ0_Matchup0,TVJ0_Matchup1,TVJ0_Matchup2,TVJ0_Matchup3,TVJ0_Matchup4,TVJ0_Matchup5,TVJ0_Matchup6,TVJ0_Matchup7,TVJ0_Matchup8,TVJ0_Matchup9,TVJ0_Matchup10,TVJ0_Matchup11,Aud_expertise,Aud_expertise_index,Mid,RT,Prior0_slider0,Prior0_slider1,Prior0_slider2,Prior0_slider3,Prior0_slider4,Prior0_slider5,Prior0_slider6,Prior0_slider7,Prior0_slider8,Prior0_slider9,Prior0_slider10,Prior0_slider11,Interpret0_slider0,Interpret0_slider1,Interpret0_slider2,Interpret0_slider3,Interpret0_slider4,Interpret0_slider5,Interpret0_slider6,Interpret0_slider7,Interpret0_slider8,Interpret0_slider9,Interpret0_slider10,Interpret0_slider11,language,age,gender,education,comments,Browser,OS,screenH,screenW,year_started,league_level,hours_total,games_weekly,champfam_total,max_extreme,criteria,time_in_minutes,participant_id,Concern_lo,Concern_hi,Concern,Matchup0_good,Matchup1_good,Matchup2_good,Matchup3_good,Matchup4_good,Matchup5_good,Matchup6_good,Matchup7_good,Matchup8_good,Matchup9_good,Matchup10_good,Matchup11_good,nGood
42,122,56,1,1,34,33,0,1,70,74,1,1,77,94,0,1,16,44,0,1,96,29,1,0,40,20,0,0,68,103,1,0,32,38,1,1,39,101,0,0,54,59,1,1,128,105,0,1,0,1,1,0,0,0,1,1,1,1,0,1,experienced,1,0,52.729,0.72,0.85,0.57,0.28,0.16,0.29,0.85,0.83,0.87,0.69,0.79,0.88,1,0.89,0.89,1,0.82,0.82,0.96,0.87,0.86,0.87,0.84,0.8,English,37,Male,2,NA,Chrome,Windows,1440,2560,2009,Gold,"10,000+",5-Mar,13-18,0.85,0.74,3.929366667,52,0,0,0,1,1,-1,-1,-1,0,0,0,-1,0,1,1,4
43,32,38,1,1,33,34,0,1,105,128,1,1,16,44,1,1,56,122,0,1,96,29,1,0,59,54,0,1,101,39,1,0,40,20,0,0,74,70,0,1,77,94,1,1,103,68,0,0,1,2,0,1,0,1,1,1,0,1,1,1,new,0,0,7481.176,0.63,0.51,0.4,0.51,0.34,0.54,0.65,0.69,0.52,0.7,0.81,0.39,0.8,0.8,0.8,0.8,0.8,0.8,0.79,0.8,0.79,0.8,0.8,0.8,English,19,Male,2,NA,Chrome,Windows,1080,1920,2017,Silver,"1,000-10,000",10-Jun,0-6,0.6,0.8,129.2395,53,0,0,0,-1,-1,1,1,1,0,1,0,0,-1,1,0,5
44,59,54,0,1,96,29,1,0,70,74,1,1,68,103,0,0,32,38,0,1,34,33,1,1,122,56,0,1,94,77,1,1,101,39,1,0,128,105,1,1,40,20,0,0,44,16,0,1,1,1,1,0,1,1,1,1,0,0,1,1,experienced,1,0,73.195,0.75,0.6,0.3,0.25,0.5,0.3,0.75,0.25,0.25,0.25,0.74,0.6,0.75,0.75,0.75,0.75,0.74,0.75,0.75,0.74,0.76,0.73,0.75,0.75,English,20,Male,2,NA,Chrome,Windows,1440,2560,2017,Diamond,"100-1,000",10-Jun,0-6,0.9,0.75,14.15315,54,0,0,0,1,0,-1,0,1,-1,-1,-1,0,-1,0,1,3
45,34,33,1,1,29,96,0,0,16,44,1,1,59,54,0,1,105,128,1,1,74,70,0,1,39,101,1,0,77,94,0,1,38,32,1,1,122,56,0,1,103,68,1,0,20,40,0,0,1,0,1,1,1,1,0,0,0,0,0,1,experienced,1,0,116.631,0.3,0.43,0.56,0.54,0.77,0.8,0.6,0.43,0.38,0.33,0.3,0.55,0.25,0.6,0.6,0.83,0.85,0.85,0.4,0.37,0.65,0.27,0.35,0.45,NA,NA,NA,-1,NA,Chrome,Windows,1080,1920,2012,Diamond,"10,000+",5-Mar,13-18,0.75,0.75,6.9011,56,0,0,0,-1,0,1,1,1,-1,0,-1,1,-1,0,0,4
46,52,133,0,1,6,1,0,1,89,138,1,1,116,51,0,1,67,140,1,1,30,61,1,0,144,2,1,0,21,97,1,1,31,84,0,0,53,69,0,1,24,17,1,1,112,147,0,0,0,0,1,0,1,1,0,1,0,0,1,0,experienced,1,1,119.055,0.37,0.4,0.73,0.42,0.61,0.67,0.36,0.74,0.32,0.25,0.74,0.3,0.65,0.66,0.7,0.7,0.71,0.74,0.69,0.7,0.62,0.63,0.79,0.63,English,22,Male,3,NA,Chrome,Windows,864,1536,2012,Diamond,"1,000-10,000",20-Nov,19-24,0.7,0.71,4.841933333,57,0,0,0,1,1,-1,1,1,0,0,1,0,-1,1,0,6
47,68,103,1,0,105,128,1,1,77,94,0,1,59,54,1,1,101,39,0,0,74,70,0,1,33,34,0,1,122,56,1,1,29,96,0,0,38,32,0,1,20,40,1,0,44,16,1,1,1,1,0,0,2,1,0,1,2,0,1,0,new,0,0,205.587,0.8,0.75,0.1,0.1,0.5,0.7,0.35,0.8,0.5,0.45,0.95,0.5,0.8,0.85,0.6,0.6,0.6,0.7,0.7,0.85,0.55,0.55,0.95,0.6,"English, Vietnamese",19,Male,2,"Top Lane used to be the lane I played all the time, but in the past year, I've moved to mostly playing Mid Lane and only sometimes playing Top Lane. This may have influenced my answers a bit.",Chrome,Windows,864,1536,2017,Silver,"1,000-10,000",2-Jan,13-18,1,0.9,18.23803333,59,0,0,0,0,1,-1,-1,0,-1,-1,1,0,-1,0,-1,2
48,59,54,0,1,38,32,0,1,105,128,1,1,94,77,1,1,20,40,0,0,101,39,1,0,96,29,0,0,122,56,1,1,33,34,0,1,68,103,1,0,74,70,0,1,16,44,1,1,1,0,0,0,1,1,1,1,0,0,1,0,new,0,0,140.586,0.78,0.13,0.41,0.3,0.77,0.63,0.71,0.58,0.41,0.46,0.69,0.41,0.87,0.58,0.53,0.53,0.89,0.66,0.75,0.67,0.56,0.55,0.7,0.6,German,25,Male,3,NA,Chrome,Linux,740,360,2014,Diamond,"1,000-10,000",20-Nov,19-24,0.93,0.62,9.327483333,60,0,0,0,1,-1,1,-1,0,0,0,1,-1,0,-1,1,4
49,140,67,0,1,112,147,1,0,31,84,1,0,21,97,0,1,53,69,1,1,144,2,0,0,116,51,0,1,89,138,1,1,1,6,0,1,52,133,1,1,61,30,0,0,17,24,1,1,1,2,1,2,1,1,0,0,1,1,2,0,experienced,1,1,113.934,0.51,0.5,0.55,0.5,0.6,0.51,0.45,0.49,0.53,0.6,0.5,0.46,0.55,0.55,0.55,0.55,0.6,0.55,0.6,0.6,0.55,0.65,0.55,0.55,English,23,Male,2,"Maybe I'm just washed because I haven't played the game at a high level in four~ years, but I imagine a number of the champs like Talon/Kat/Qi all love to just permaroam, even during laning. Often I wasn't sure how to rate matchups because in the pure 1v1 one laner can destroy the other, but jungle matchup and roaming conditions can trivialize the actual 1v1. Not sure what the purpose of the study is, but I think distinguishing between pure 1v1 laning vs jungler influence and roaming would give more less subjectivity to how people answer.",Chrome,Windows,864,1536,2013,Gold,"1,000-10,000",0,19-24,0.75,0.55,11.63546667,61,0,0,0,1,0,0,-1,1,0,1,-1,-1,-1,0,-1,3
50,103,68,1,0,122,56,0,1,33,34,0,1,40,20,0,0,38,32,0,1,39,101,1,0,29,96,0,0,44,16,0,1,70,74,1,1,54,59,1,1,128,105,1,1,94,77,1,1,2,0,1,1,1,1,1,0,1,1,0,0,experienced,1,0,64.406,0.48,0.21,0.64,0.67,0.94,0.78,0.83,0.3,0.7,0.88,0.87,0.61,0.81,0.83,0.83,0.74,0.79,0.86,0.81,0.71,0.82,0.79,0.71,0.76,English,21,Male,2,NA,Chrome,Linux,915,412,2019,Gold,"100-1,000",10-Jun,13-18,0.51,0.76,4.48415,62,0,0,0,0,-1,-1,0,-1,0,0,1,-1,1,-1,-1,2
51,70,74,1,1,68,103,1,0,105,128,0,1,59,54,0,1,40,20,0,0,32,38,0,1,33,34,1,1,94,77,0,1,39,101,0,0,16,44,1,1,29,96,1,0,56,122,1,1,1,2,0,1,1,0,2,0,0,1,0,0,experienced,1,0,114.764,0.61,0.51,0.26,0.66,0.82,0.39,0.45,0.36,0.34,0.78,0.37,0.48,0.78,0.75,0.77,0.79,0.89,0.77,0.8,0.81,0.79,0.82,0.72,0.74,English,20,Female,2,"Might want to include an option for ""unranked"" rather than just below 30 and then iron/bronze/silver/ etc. I personally haven't played competitive since season 3 so unranked is usually what I describe myself as.",Chrome,Linux,846,412,2012,Silver,0-10,0,0-6,0.74,0.65,17.89185,63,0,0,0,-1,0,-1,1,0,1,1,1,0,1,0,-1,5
