click,blueTopIndex,blueTopName,blueTopPlay,blueJungleIndex,blueJungleName,blueJunglePlay,blueMidIndex,blueMidName,blueMidPlay,blueBotIndex,blueBotName,blueBotPlay,blueSupportIndex,blueSupportName,blueSupportPlay,speaker_early_index,speaker_late_index,ChampFam,TVJearly,TVJlate,blue_excel_early,blue_excel_late,blue_excel_general,speaker_excel_early,speaker_excel_late,RT,language,age,gender,education,background_RT,Browser,OS,screenH,screenW,year_started,league_level,hours_total,games_weekly,champfam_total,time_in_minutes,participant_id,criteria_early,criteria_late,hierarch_early,hierarch_late
33,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,1,0,0,1,1,0.69,0.72,0.67,0.55,,26.479,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
34,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,1,0,0,1,1,0.69,0.72,0.67,0.55,0.62,34.896,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
35,29,Fiora,0.0322,22,Dr. Mundo,0.0087,98,Ryze,0.014,47,Jinx,0.0443,78,Nautilus,0.0694,1,1,0,,,,,,,,34.896,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
36,29,Fiora,0.0322,22,Dr. Mundo,0.0087,98,Ryze,0.014,47,Jinx,0.0443,78,Nautilus,0.0694,1,1,0,1,1,,,,,,34.896,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
37,29,Fiora,0.0322,22,Dr. Mundo,0.0087,98,Ryze,0.014,47,Jinx,0.0443,78,Nautilus,0.0694,1,1,0,1,1,0.87,0.8,0.89,,,34.896,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
38,29,Fiora,0.0322,22,Dr. Mundo,0.0087,98,Ryze,0.014,47,Jinx,0.0443,78,Nautilus,0.0694,1,1,0,1,1,0.87,0.8,0.89,0.63,,34.896,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
39,29,Fiora,0.0322,22,Dr. Mundo,0.0087,98,Ryze,0.014,47,Jinx,0.0443,78,Nautilus,0.0694,1,1,0,1,1,0.87,0.8,0.89,0.63,0.74,35.087,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
40,85,Ornn,0.0374,143,Zac,0.0667,61,LeBlanc,0.0332,7,Aphelios,0.0536,66,Lulu,0.0534,1,1,0,,,,,,,,35.087,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
41,85,Ornn,0.0374,143,Zac,0.0667,61,LeBlanc,0.0332,7,Aphelios,0.0536,66,Lulu,0.0534,1,1,0,0,1,,,,,,35.087,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
42,85,Ornn,0.0374,143,Zac,0.0667,61,LeBlanc,0.0332,7,Aphelios,0.0536,66,Lulu,0.0534,1,1,0,0,1,0.32,0.65,0.48,,,35.087,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
