Comp,CompType,EarlyResponse,LateResponse,SpeakerEarly,SpeakerLate,TransformEarly,TransformLate,ParticipantID,EarlyTVJ,LateTVJ,EarlyPrior,LatePrior,GenPrior,EarlyShift,LateShift,CompBorderline,Participant,UnextremeEarly,UnextremeLate,ProbitEarly,ProbitLate,FromSpeakerEarly,FromSpeakerLate
5,3,0.1,0.81,0,1,0.4,0.31,9,1,0,0.56,0.28,0.34,-0.46,0.43,3,5,0.1,0.81,-1.281551566,0.877896295,0.1,0.19
3,2,0.1,0.12,0,0,0.4,0.38,9,1,1,0.54,0.49,0.24,-0.44,-0.26,2,5,0.1,0.12,-1.281551566,-1.174986792,0.1,0.12
2,1,0.09,0.78,0,1,0.41,0.28,9,1,1,0.5,0.51,0.42,-0.41,0.4,1,5,0.09,0.78,-1.340755034,0.772193214,0.09,0.22
7,4,0.82,0.08,1,0,0.32,0.42,9,1,1,0.57,0.48,0.39,0.25,-0.3,1,5,0.82,0.08,0.915365088,-1.40507156,0.18,0.08
6,3,0.85,0.12,1,0,0.35,0.38,9,1,1,0.58,0.61,0.47,0.27,-0.26,3,5,0.85,0.12,1.036433389,-1.174986792,0.15,0.12
4,2,0.82,0.84,1,1,0.32,0.34,9,1,1,0.61,0.56,0.54,0.21,0.46,2,5,0.82,0.84,0.915365088,0.994457883,0.18,0.16
10,5,0.8,0.79,1,1,0.3,0.29,9,1,1,0.58,0.6,0.4,0.22,0.41,2,5,0.8,0.79,0.841621234,0.806421247,0.2,0.21
8,4,0.11,0.85,0,1,0.39,0.35,9,1,1,0.64,0.63,0.49,-0.53,0.47,1,5,0.11,0.85,-1.22652812,1.036433389,0.11,0.15
3,2,0.5,0.5,0,0,0,0,10,1,0,0.5,0.5,0.5,0,0.12,2,6,0.5,0.5,0,0,0.5,0.5
6,3,0.5,0.5,0,0,0,0,10,1,1,0.5,0.5,0.5,0,0.12,3,6,0.5,0.5,0,0,0.5,0.5
9,5,0.5,0.5,1,0,0,0,10,1,1,0.5,0.5,0.5,0,0.12,2,6,0.5,0.5,0,0,0.5,0.5
1,1,0.5,0.5,1,1,0,0,10,1,1,0.5,0.5,0.5,0,0.12,1,6,0.5,0.5,0,0,0.5,0.5
8,4,0.5,0.5,0,1,0,0,10,1,1,0.5,0.5,0.5,0,0.12,1,6,0.5,0.5,0,0,0.5,0.5
4,2,0.5,0.5,1,1,0,0,10,1,1,0.5,0.5,0.5,0,0.12,2,6,0.5,0.5,0,0,0.5,0.5
10,5,0.5,0.5,0,1,0,0,10,1,1,0.5,0.5,0.5,0,0.12,2,6,0.5,0.5,0,0,0.5,0.5
7,4,0.5,0.5,1,0,0,0,10,1,1,0.5,0.5,0.5,0,0.12,1,6,0.5,0.5,0,0,0.5,0.5
2,1,0.5,0.5,0,0,0,0,10,1,1,0.5,0.5,0.5,0,0.12,1,6,0.5,0.5,0,0,0.5,0.5
5,3,0.5,0.5,1,1,0,0,10,1,1,0.5,0.5,0.5,0,0.12,3,6,0.5,0.5,0,0,0.5,0.5
12,6,0.5,0.5,1,0,0,0,10,0,0,0.5,0.5,0.5,0,0.12,3,6,0.5,0.5,0,0,0.5,0.5
11,6,0.5,0.5,0,1,0,0,10,1,1,0.5,0.5,0.5,0,0.12,3,6,0.5,0.5,0,0,0.5,0.5
9,5,0.03,0.9,0,1,0.47,0.4,12,1,0,0.9,0.88,0.86,-0.87,0.52,2,7,0.03,0.9,-1.880793608,1.281551566,0.03,0.1
6,3,0.01,0.04,0,0,0.49,0.46,12,1,0,0.9,0.51,0.73,-0.89,-0.34,3,7,0.01,0.04,-2.326347874,-1.750686071,0.01,0.04
12,6,0.9,0.9,1,1,0.4,0.4,12,1,0,0.92,0.34,0.62,-0.02,0.52,3,7,0.9,0.9,1.281551566,1.281551566,0.1,0.1
10,5,0.9,0.03,1,0,0.4,0.47,12,0,1,0.08,0.88,0.54,0.82,-0.35,2,7,0.9,0.03,1.281551566,-1.880793608,0.1,0.03
7,4,0.9,0.05,1,0,0.4,0.45,12,1,0,0.92,0.12,0.54,-0.02,-0.33,1,7,0.9,0.05,1.281551566,-1.644853627,0.1,0.05
3,2,0.06,0.04,0,0,0.44,0.46,12,0,1,0.04,0.94,0.43,0.02,-0.34,2,7,0.06,0.04,-1.554773595,-1.750686071,0.06,0.04
1,1,0.86,0.03,1,0,0.36,0.47,12,0,0,0.13,0.12,0.17,0.73,-0.35,1,7,0.86,0.03,1.080319341,-1.880793608,0.14,0.03
5,3,0.88,0.91,1,1,0.38,0.41,12,0,1,0.04,0.93,0.62,0.84,0.53,3,7,0.88,0.91,1.174986792,1.340755034,0.12,0.09
4,2,0.87,0.92,1,1,0.37,0.42,12,1,0,0.93,0.09,0.53,-0.06,0.54,2,7,0.87,0.92,1.126391129,1.40507156,0.13,0.08
11,6,0.02,0.03,0,0,0.48,0.47,12,0,1,0.04,0.94,0.48,-0.02,-0.35,3,7,0.02,0.03,-2.053748911,-1.880793608,0.02,0.03
8,4,0.04,0.9,0,1,0.46,0.4,12,1,1,0.93,0.93,0.86,-0.89,0.52,1,7,0.04,0.9,-1.750686071,1.281551566,0.04,0.1
2,1,0.03,0.92,0,1,0.47,0.42,12,0,1,0.05,0.94,0.66,-0.02,0.54,1,7,0.03,0.92,-1.880793608,1.40507156,0.03,0.08
2,1,0.61,1,0,1,0.11,0.5,17,0,1,0.4,0.96,0.93,0.21,0.62,1,8,0.61,0.999,0.279319034,3.090232306,0.61,0
6,3,0.27,0.21,0,0,0.23,0.29,17,1,0,1,0.32,0.49,-0.73,-0.17,3,8,0.27,0.21,-0.612812991,-0.806421247,0.27,0.21
9,5,0.65,0.93,1,1,0.15,0.43,17,0,1,0.62,0.97,0.98,0.03,0.55,2,8,0.65,0.93,0.385320466,1.475791028,0.35,0.07
3,2,0.06,0.85,0,1,0.44,0.35,17,0,1,0.79,0.95,0.92,-0.73,0.47,2,8,0.06,0.85,-1.554773595,1.036433389,0.06,0.15
10,5,0.44,0.18,0,0,0.06,0.32,17,1,0,0.58,0.5,0.64,-0.14,-0.2,2,8,0.44,0.18,-0.150969215,-0.915365088,0.44,0.18
4,2,0.86,0.91,1,0,0.36,0.41,17,1,1,0.74,0.76,0.9,0.12,0.53,2,8,0.86,0.91,1.080319341,1.340755034,0.14,0.91
5,3,0.87,0.71,1,1,0.37,0.21,17,1,0,0.25,0.5,0.62,0.62,0.33,3,8,0.87,0.71,1.126391129,0.55338472,0.13,0.29
11,6,0.68,0.94,0,1,0.18,0.44,17,1,1,0.75,0.75,0.86,-0.07,0.56,3,8,0.68,0.94,0.467698799,1.554773595,0.68,0.06
12,6,0.35,0.08,1,0,0.15,0.42,17,0,0,0.45,0.45,0.36,-0.1,-0.3,3,8,0.35,0.08,-0.385320466,-1.40507156,0.65,0.08
1,1,0.9,0.65,1,0,0.4,0.15,17,1,1,0.84,0.86,0.94,0.06,0.27,1,8,0.9,0.65,1.281551566,0.385320466,0.1,0.65
8,4,0.96,0.95,1,1,0.46,0.45,17,1,1,0.9,0.92,0.92,0.06,0.57,1,8,0.96,0.95,1.750686071,1.644853627,0.04,0.05
7,4,0.22,0.04,0,0,0.28,0.46,17,1,0,0.77,0.28,0.61,-0.55,-0.34,1,8,0.22,0.04,-0.772193214,-1.750686071,0.22,0.04
5,3,0.64,0.56,0,0,0.14,0.06,20,1,1,0.65,0.74,0.8,-0.01,0.18,3,9,0.64,0.56,0.358458793,0.150969215,0.64,0.56
11,6,0.56,0.49,0,0,0.06,0.01,20,1,0,0.69,0.56,0.57,-0.13,0.11,3,9,0.56,0.49,0.150969215,-0.025068908,0.56,0.49
